Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM
202,80,202-00080,Removal of Guard Post,0,EACH
202,90,202-00090,Removal of Delineator,0,EACH
202,100,202-00100,Removal of Dome Channelizing Device,0,EACH
202,150,202-00150,Removal of Wall,0,EACH
202,155,202-00155,Removal of Wall,0,LF
202,160,202-00160,Removal of Wall,0,SF
202,165,202-00165,Removal of Wall,0,L S
202,170,202-00170,Grinding And Texturing Concrete Pavement,0,SY
202,175,202-00175,Removal of Concrete,0,L S
202,190,202-00190,Removal of Concrete Median Cover Material,4227,SY
202,195,202-00195,Removal of Median Cover,2542,SY
202,200,202-00200,Removal of Sidewalk,293,SY
202,201,202-00201,Removal of Curb,0,LF
202,202,202-00202,Removal of Gutter,0,LF
202,203,202-00203,Removal of Curb and Gutter,25000,LF
202,204,202-00204,"Removal of Curb, Gutter and Sidewalk",0,LF
202,205,202-00205,Removal of Wheel Stop,0,EACH
202,206,202-00206,Removal of Concrete Curb Ramp,718,SY
202,207,202-00207,Removal of Brick Pavers,0,SY
202,210,202-00210,Removal of Concrete Pavement,563,SY
202,212,202-00212,Removal of Concrete Pavement (Special),0,SY
202,215,202-00215,Removal of Concrete Pavement (Planing),0,SY
202,217,202-00217,Remove Concrete Pavement (Planing) (Special),0,SY
202,220,202-00220,Removal of Asphalt Mat,335,SY
202,226,202-00226,Removal of Asphalt Mat (Special),0,SY
202,240,202-00240,Removal of Asphalt Mat (Planing),146127,SY
202,241,202-00241,Removal of Asphalt Mat (Planing)(Special),0,CY
202,245,202-00245,Removal of Asphalt Mat (Planing),0,TON
202,246,202-00246,Removal of Asphalt Mat (Planing) (Special),0,SY
202,247,202-00247,Removal of Asphalt Mat (Planing),0,L S
202,248,202-00248,Removal of Rumble Strips,0,LF
202,250,202-00250,Removal of Pavement Marking,9500,SF
202,251,202-00251,Removal of Pavement Marking (Asphalt Grooving),0,SF
202,252,202-00252,Removal of Pavement Marking (Concrete Grooving),0,SF
202,254,202-00254,Removal of Pavement Marking (12 Inch),0,SF
202,256,202-00256,Removal of Pavement Marking (15 Inch),0,SF
202,260,202-00260,Removal of Pavement Marking (On-Call),0,SF
202,300,202-00300,Removal of Building(s),0,L S
202,400,202-00400,Removal of Bridge,0,EACH
202,401,202-00401,Removal of Bridge (Special),0,EACH
202,405,202-00405,Removal of Piling,0,EACH
202,410,202-00410,Removal of Mat From Bridge,0,SY
202,420,202-00420,Removal of Pedestrian Rail,0,LF
202,425,202-00425,Removal of Bridge Railing,0,LF
202,426,202-00426,Removal of Bridge Railing (Special),0,LF
202,440,202-00440,Removal of Existing Tunnel Liner,0,LF
202,450,202-00450,Removal of Portions of Present Structure (Class 1),0,SY
202,453,202-00453,Removal of Portions of Present Structure (Class 2),0,SY
202,454,202-00454,Removal of Portions of Present Structure (Class 2A),0,SY
202,456,202-00456,Removal of Portions of Present Structure (Class 2B),0,SY
202,457,202-00457,Removal of Portions of Present Structure (Class 2) (Hydrodem,0,SY
202,460,202-00460,Removal of Portions of Present Structure (Class 3),0,SY
202,462,202-00462,Removal of Portions of Present Structure (Class 3A),0,SY
202,466,202-00466,Removal of Portions of Present Structure (Class 4),0,SY
202,480,202-00480,Removal of Portions of Present Structure (Special),0,SY
202,495,202-00495,Removal of Portions of Present Structure,0,L S
202,500,202-00500,Removal of Portions of Present Structure,0,EACH
202,502,202-00502,Removal of Portions of Present Structure,0,CY
202,503,202-00503,Removal of Portions of Present Structure,0,SY
202,504,202-00504,Removal of Expansion Device,0,LF
202,510,202-00510,Removal of Roadway Contraction Joint,0,LF
202,520,202-00520,Removal of Expansion Joint Material,0,LF
202,600,202-00600,Removal of Railroad Appurtenances,0,L S
202,610,202-00610,Removal of Railroad Track,0,LF
202,620,202-00620,Removal of Railroad Crossover,0,EACH
202,621,202-00621,Removal of Railroad Turnout,0,EACH
202,700,202-00700,Removal of Light Standard,0,EACH
202,705,202-00705,Removal of Light Standard Foundation,0,EACH
202,710,202-00710,Removal of Power Pole,0,EACH
202,715,202-00715,Removal of Closed Circuit Television Pole,0,EACH
202,720,202-00720,Removal of Closed Circuit Camera,0,EACH
202,725,202-00725,Removal of Existing Lighting System,0,L S
202,750,202-00750,Removal of Luminaire,0,EACH
202,800,202-00800,Removal of Overpass Mounted Sign Bracket,0,EACH
202,805,202-00805,Removal of Overhead Sign Structure,0,EACH
202,806,202-00806,Removal of Walkway,0,LF
202,810,202-00810,Removal of Ground Sign,50,EACH
202,815,202-00815,Removal of Sign (Special),0,EACH
202,818,202-00818,Removal of Steel Sign Ground Stub base (36 Inch),0,EACH
202,821,202-00821,Removal of Sign Panel,0,EACH
202,823,202-00823,Removal of Dynamic Message Sign,0,EACH
202,825,202-00825,Removal of Flashing Beacon,0,EACH
202,827,202-00827,Removal of Pull Box,0,EACH
202,828,202-00828,Removal of Traffic Signal Equipment,1,L S
202,830,202-00830,Removal of Traffic Signal Face,0,EACH
202,831,202-00831,Removal of Traffic Signal Head,0,EACH
202,832,202-00832,Removal of Sign Panel (Special),0,EACH
202,840,202-00840,Removal of Traffic Signal Pole,0,EACH
202,842,202-00842,Removal of Mast Arm,0,EACH
202,845,202-00845,Removal of Traffic Signal Controller,0,EACH
202,848,202-00848,Removal of Traffic Signal Controller and Cabinet,0,EACH
202,855,202-00855,Removal of Traffic Signal Controller Cabinet,0,EACH
202,858,202-00858,Removal of Pedestal Pole,0,EACH
202,860,202-00860,Removal of Pedestrian Push Button,0,EACH
202,870,202-00870,Removal of Coordination Unit,0,EACH
202,873,202-00873,Removal of Tone Decoder,0,EACH
202,875,202-00875,Removal of Dome Channelizing Device,0,LF
202,880,202-00880,Removal of Traffic Signal Vehicle Detector Amplifier,0,EACH
202,882,202-00882,Removal of Traffic Signal Vehicle Detector (Magnetic Type),0,EACH
202,885,202-00885,Removal of Traffic Signal Vehicle Detector (Pressure Type),0,EACH
202,888,202-00888,Removal of Video Detection System,0,EACH
202,889,202-00889,Removal of Detectable Warning,0,EACH
202,890,202-00890,Removal of Span Wire Cable,0,LF
202,895,202-00895,Removal of Impact Attenuator,0,EACH
202,900,202-00900,Removal of Concrete Footing,0,EACH
202,950,202-00950,Removal of Concrete Foundation and Slab,0,SY
202,1000,202-01000,Removal of Fence,0,LF
202,1010,202-01010,Removal Of Silt Fence,0,LF
202,1015,202-01015,Removal of Rockfall Fence,0,LF
202,1017,202-01017,Removal of Wire Mesh,0,SF
202,1020,202-01020,Removal of Sound Barrier Fence,0,LF
202,1030,202-01030,Removal of Road Closure Gate,0,EACH
202,1035,202-01035,Removal of Gate,0,EACH
202,1040,202-01040,Removal of HOV Gate,0,EACH
202,1110,202-01110,Removal of Guardrail Type 1,0,LF
202,1130,202-01130,Removal of Guardrail Type 3,0,LF
202,1135,202-01135,Removal of Guardrail Thrie Beam,0,LF
202,1140,202-01140,Removal of Guardrail Type 4,0,LF
202,1150,202-01150,Removal of Guardrail Type 5,0,LF
202,1170,202-01170,Removal of Guardrail Type 7,0,LF
202,1175,202-01175,Removal of Guardrail (Special),0,LF
202,1180,202-01180,Removal of Median Barrier,0,LF
202,1200,202-01200,Removal of Tensioned Cable Barrier,0,LF
202,1300,202-01300,Removal of End Anchorage,0,EACH
202,1400,202-01400,Removal of Cattle Guard,0,EACH
202,4000,202-04000,Plug Structure,0,EACH
202,4001,202-04001,Plug Culvert,0,EACH
202,4002,202-04002,Clean Culvert,0,EACH
202,4003,202-04003,Clean Culvert (Special),150,EACH
202,4004,202-04004,Plug Culvert (Special),0,EACH
202,4005,202-04005,Clean Valve Box,102,EACH
202,4010,202-04010,Clean Inlet,0,EACH
202,4040,202-04040,Clean Box Girder,0,EACH
202,4041,202-04041,Clean Box Girder (Forms and Debris),0,SF
202,4042,202-04042,Clean Box Girder (Organic Material),0,SF
202,4050,202-04050,Clean Expansion Joint,0,LF
202,4060,202-04060,Dust Abatement,0,L S
202,4100,202-04100,Abandon Well,0,EACH
202,4200,202-04200,Plug Storage Tank,0,EACH
202,4300,202-04300,Removal of Underground Storage Tank,0,EACH
202,5000,202-05000,Transverse Grooving,0,SY
202,5002,202-05002,Sawing Concrete (2 Inch),0,LF
202,5004,202-05004,Sawing Concrete (4 Inch),0,LF
202,5006,202-05006,Sawing Concrete (6 Inch),0,LF
202,5008,202-05008,Sawing Concrete (8 Inch),0,LF
202,5010,202-05010,Sawing Concrete (10 Inch),0,LF
202,5011,202-05011,Sawing Concrete (10.5 Inch),0,LF
202,5019,202-05019,Sawing Concrete (Special),0,LF
202,5026,202-05026,Sawing Asphalt Material (6 Inch),0,LF
202,5030,202-05030,Sawing Asphalt Material (10 Inch),0,LF
202,5100,202-05100,Sandblasting Reinforcing Steel,0,SY
202,5150,202-05150,Sandblasting,0,SF
202,5300,202-05300,Removal and Disposal of Paint,0,L S
202,6000,202-06000,Removal of Detour,0,L S
202,6500,202-06500,Removal of Restraining Bar,0,L S
202,6510,202-06510,Removal of Inspection Car Rail,0,L S
202,6520,202-06520,Removal of Existing Wall Panels,0,L S
202,6530,202-06530,Clean Drain Pipe (Special),0,EACH
202,7000,202-07000,Obliterate Old Road,0,L S
202,7100,202-07100,Removal of Access Road (Special),0,L S
202,7200,202-07200,Removal of Temporary Stream Crossing,0,EACH
202,11581,202-11581,Fence (Temporary) (Special),0,LF
203,0,203-00000,Unclassified Excavation,0,CY
203,5,203-00005,Unclassified Excavation (Haul),0,CY
203,10,203-00010,Unclassified Excavation (Complete In Place),0,CY
203,12,203-00012,Unclassified Excavation (Complete In Place) (Special),0,CY
203,15,203-00015,Unclassified Excavation (Haul and Compaction),0,CY
203,40,203-00040,Unclassified Excavation (Special),0,CY
203,50,203-00050,Unsuitable Material,0,CY
203,55,203-00055,Embankment Material (Haul),0,CY
203,60,203-00060,Embankment Material (Complete In Place),0,CY
203,61,203-00061,Embankment Material (Complete In Place),0,TON
203,62,203-00062,Embankment Material (Complete In Place) (Special),0,CY
203,65,203-00065,Embankment Material (Complete In Place) (R20),0,CY
203,66,203-00066,Embankment Material (Complete In Place) (R40),0,CY
203,100,203-00100,Muck Excavation,0,CY
203,105,203-00105,Muck Excavation (Haul),0,CY
203,112,203-00112,Muck Excavation (Haul) (Special),0,CY
203,200,203-00200,Borrow,0,CY
203,205,203-00205,Borrow (Haul),0,CY
203,210,203-00210,Borrow (Complete In Place),0,CY
203,215,203-00215,Borrow (Haul and Compaction),0,CY
203,310,203-00310,Borrow (Complete In Place),0,TON
203,400,203-00400,Rock Excavation,0,CY
203,405,203-00405,Rock Excavation (Haul),0,CY
203,440,203-00440,Rock Excavation (Special),0,CY
203,450,203-00450,Rock Removal,0,EACH
203,500,203-00500,Rock Fill,0,CY
203,505,203-00505,Rock Fill (Haul),0,CY
203,510,203-00510,Rock Fill (Special),0,CY
203,555,203-00555,Rock Fill (Haul),0,TON
203,590,203-00590,Rock Placement,0,CY
203,592,203-00592,Rock Staining,0,SF
203,595,203-00595,Rock Scaling,0,SY
203,596,203-00596,Rock Scaling,0,L S
203,598,203-00598,Rock Scaling,0,HOUR
203,599,203-00599,Rock Scaler,0,HOUR
203,600,203-00600,Stripping,0,CY
203,605,203-00605,Stripping (Haul),0,CY
203,700,203-00700,Reclaim Pit,0,EACH
203,705,203-00705,Access Pit,0,EACH
203,710,203-00710,Clay Plating (Complete In Place),0,CY
203,810,203-00810,Sawdust Fill (Complete In Place),0,CY
203,840,203-00840,Expanded Polystyrene Fill,0,CY
203,850,203-00850,Expanded Polystyrene Fill (Complete In Place),0,CY
203,875,203-00875,Place Shredded Tire Fill (Complete In Place),0,CY
203,900,203-00900,Contaminated Soil Excavation,0,CY
203,910,203-00910,Contaminated Soil Excavation and Disposal (Off-Site),0,CY
203,1020,203-01020,Compaction (AASHTO T 99),0,CY
203,1030,203-01030,Compaction (AASHTO T 180),0,CY
203,1040,203-01040,Trench Compaction,0,SY
203,1050,203-01050,Dynamic Deep Compaction,0,CY
203,1055,203-01055,Dynamic Deep Compaction,0,SY
203,1100,203-01100,Proof Rolling,0,HOUR
203,1120,203-01120,Vibratory Rolling,0,HOUR
203,1125,203-01125,Drop Hammer Compactor,0,HOUR
203,1140,203-01140,Rolling,0,HOUR
203,1200,203-01200,Roadway Insulation Material (2 Inch),0,SF
203,1500,203-01500,Blading,0,HOUR
203,1510,203-01510,Backhoe,0,HOUR
203,1515,203-01515,Backhoe (Landscaping),0,HOUR
203,1520,203-01520,Backhoe (Special),0,EACH
203,1525,203-01525,Backhoe (Special),0,HOUR
203,1545,203-01545,Air Compressor (250 CFM),0,HOUR
203,1547,203-01547,Air Compressor (600 CFM),0,HOUR
203,1548,203-01548,Pump,0,DAY
203,1549,203-01549,Pump,0,HOUR
203,1550,203-01550,Dozing,0,HOUR
203,1551,203-01551,Dozing (Heavy),0,HOUR
203,1555,203-01555,Dozing (Landscaping),0,HOUR
203,1560,203-01560,Scraping,0,HOUR
203,1565,203-01565,Hydraulic Excavator,0,HOUR
203,1570,203-01570,Dragline,0,HOUR
203,1580,203-01580,Truck,0,HOUR
203,1581,203-01581,Truck (Off Highway End Dump),0,HOUR
203,1582,203-01582,Truck (Dump),0,HOUR
203,1583,203-01583,Truck (Tractor),0,HOUR
203,1584,203-01584,Truck (Water),0,HOUR
203,1590,203-01590,Front End Loader (Rubber Tire),0,HOUR
203,1591,203-01591,Front End Loader (Crawler),0,HOUR
203,1592,203-01592,Front End Loader (Special),0,HOUR
203,1594,203-01594,Combination Loader,0,HOUR
203,1596,203-01596,Potholing With Surveying and Stationing of U/G Utilities,0,L S
203,1597,203-01597,Potholing,10,HOUR
203,1598,203-01598,Potholing (Special),0,EACH
203,1600,203-01600,Crane (Crawler),0,HOUR
203,1610,203-01610,Crane (Rubber Tire),0,HOUR
203,1615,203-01615,Crane (Scaling),0,HOUR
203,1620,203-01620,Sweeping,0,HOUR
203,1622,203-01622,Sweeping (With Pickup Broom),160,HOUR
203,1625,203-01625,Hydraulic Excavator Scaling,0,HOUR
203,1700,203-01700,Transport,0,HOUR
203,2000,203-02000,Drilling and Blasting,0,LF
203,2060,203-02060,Presplitting,0,LF
203,2300,203-02300,Rock Scaler,0,HOUR
203,2310,203-02310,Scaler Foreman,0,HOUR
203,2312,203-02312,Hand Scaling,0,HOUR
203,2315,203-02315,Mechanized Scaling,0,HOUR
203,2320,203-02320,Blaster,0,HOUR
203,2324,203-02324,Blast Vibration Monitoring,0,L S
203,2330,203-02330,Laborer,0,HOUR
203,3005,203-03005,Portal Area Excavation (Haul),0,CY
203,3105,203-03105,Cinnamon Creek Area Excavation (Haul),0,CY
203,62340,203-62340,Salaried Foreman and Pickup,0,HOUR
204,0,204-00000,Haul,0,YM
204,10,204-00010,Haul,0,TM
206,0,206-00000,Structure Excavation,0,CY
206,10,206-00010,Structure Excavation (Special),0,CY
206,50,206-00050,Structure Backfill (Special),0,CY
206,60,206-00060,Structure Backfill (Special) (Flow-Fill),0,CY
206,65,206-00065,Structure Backfill (Flow-Fill),0,CY
206,66,206-00066,Structure Backfill (Flowable Fly Ash),0,CY
206,70,206-00070,Structure Backfill (Controlled Low Strength Materials),0,CY
206,100,206-00100,Structure Backfill (Class 1),0,CY
206,105,206-00105,Cement Treated Base,0,CY
206,200,206-00200,Structure Backfill (Class 2),0,CY
206,310,206-00310,Structure Backfill (Reinforced Earth Wall),0,CY
206,315,206-00315,Structure Backfill (Mechanically Stabilized Earth Wall),0,CY
206,320,206-00320,Structure Backfill (Concrete Retaining Wall),0,CY
206,325,206-00325,Structure Backfill (Mechanically Stabilized Earth Fill),0,CY
206,350,206-00350,Structure Backfill (Mechanically Stabilized Earth),0,CY
206,360,206-00360,Mechanical Reinforcement of Soil,0,CY
206,505,206-00505,Filter Material (Special),0,CY
206,507,206-00507,Filter Material (Porous Concrete),0,CY
206,510,206-00510,Filter Material (Class A),0,CY
206,520,206-00520,Filter Material (Class B),0,CY
206,530,206-00530,Filter Material (Class C),0,CY
206,590,206-00590,Filter Material (Porous Concrete),0,CY
206,1000,206-01000,Bed Course Material,0,CY
206,1001,206-01001,Bed Course Material (Special),0,CY
206,1010,206-01010,Bed Course Material,0,TON
206,1015,206-01015,Aggregate Filter Blanket (2 Feet),0,SY
206,1020,206-01020,Aggregate Filter Blanket (3 Feet),0,SY
206,1025,206-01025,Rock Blanket (1 Foot),0,SY
206,1030,206-01030,Rock Blanket (2 Feet),0,SY
206,1500,206-01500,Cofferdam,0,L S
206,1550,206-01550,Cofferdam (Area 1),0,L S
206,1555,206-01555,Cofferdam (Area 2),0,L S
206,1560,206-01560,Cofferdam (Area 3),0,L S
206,1600,206-01600,Temporary Excavation Support,0,L S
206,1701,206-01701,Temporary Excavation Support (Area 1),0,L S
206,1702,206-01702,Temporary Excavation Support (Area 2),0,L S
206,1703,206-01703,Temporary Excavation Support (Area 3),0,L S
206,1704,206-01704,Temporary Excavation Support (Area 4),0,L S
206,1705,206-01705,Temporary Excavation Support (Area 5),0,L S
206,1706,206-01706,Temporary Excavation Support (Area 6),0,L S
206,1707,206-01707,Temporary Excavation Support (Area 7),0,L S
206,1708,206-01708,Temporary Excavation Support (Area 8),0,L S
206,1709,206-01709,Temporary Excavation Support (Area 9),0,L S
206,1710,206-01710,Temporary Excavation Support (Area 10),0,L S
206,1711,206-01711,Temporary Excavation Support (Area 11),0,L S
206,1712,206-01712,Temporary Excavation Support (Area 12),0,L S
206,1713,206-01713,Temporary Excavation Support (Area 13),0,L S
206,1714,206-01714,Temporary Excavation Support (Area 14),0,L S
206,1715,206-01715,Temporary Excavation Support (Area 15),0,L S
206,1716,206-01716,Temporary Excavation Support (Area 16),0,L S
206,1717,206-01717,Temporary Excavation Support (Area 17),0,L S
206,1718,206-01718,Temporary Excavation Support (Area 18),0,L S
206,1719,206-01719,Temporary Excavation Support (Area 19),0,L S
206,1720,206-01720,Temporary Excavation Support (Area 20),0,L S
206,1721,206-01721,Temporary Excavation Support (Area 21),0,L S
206,1722,206-01722,Temporary Excavation Support (Area 22),0,L S
206,1750,206-01750,Shoring,0,L S
206,1781,206-01781,Shoring (Area 1),0,L S
206,1782,206-01782,Shoring (Area 2),0,L S
206,1783,206-01783,Shoring (Area 3),0,L S
206,1784,206-01784,Shoring (Area 4),0,L S
206,1785,206-01785,Shoring (Area 5),0,L S
206,1786,206-01786,Shoring (Area 6),0,L S
206,1787,206-01787,Shoring (Area 7),0,L S
206,1788,206-01788,Shoring (Area 8),0,L S
206,1789,206-01789,Shoring (Area 9),0,L S
206,1790,206-01790,Shoring (Area 10),0,L S
206,1791,206-01791,Shoring (Area 11),0,L S
206,1792,206-01792,Shoring (Area 12),0,L S
206,1793,206-01793,Shoring (Area 13),0,L S
206,1794,206-01794,Shoring (Area 14),0,L S
206,1795,206-01795,Shoring (Area 15),0,L S
207,205,207-00205,Topsoil,0,CY
207,210,207-00210,Stockpile Topsoil,0,CY
207,305,207-00305,Wetland Topsoil,0,CY
207,310,207-00310,Stockpile Wetland Topsoil,0,CY
207,405,207-00405,Topsoil (Special),0,CY
207,1110,207-01110,Planter Soil Mix,0,CY
208,0,208-00000,Ditch Guard,0,LF
208,1,208-00001,Silt Dike,0,LF
208,2,208-00002,Erosion Log Type 1 (12 Inch),0,LF
208,3,208-00003,Erosion Log (18 Inch),0,LF
208,4,208-00004,Silt Berm,0,LF
208,5,208-00005,Erosion Log,460,LF
208,6,208-00006,Erosion Log (Special),0,LF
208,7,208-00007,Erosion Log Type 2 (8 Inch),0,LF
208,8,208-00008,Erosion Log Type 2 (12 Inch),0,LF
208,9,208-00009,Erosion Log Type 2 (18 Inch),0,LF
208,10,208-00010,Erosion Bales,0,EACH
208,11,208-00011,Erosion Bales (Weed Free),0,EACH
208,12,208-00012,Erosion Log Type 1 (9 Inch),0,LF
208,13,208-00013,Erosion Log Type 1 (20 Inch),0,LF
208,15,208-00015,Sand Bag,0,EACH
208,18,208-00018,Gravel Bag,0,LF
208,19,208-00019,Silt Fence (Reinforced)(Special),0,LF
208,20,208-00020,Silt Fence,0,LF
208,21,208-00021,Silt Fence (Reinforced),0,LF
208,22,208-00022,Erosion Log (Type 3)(9 Inch),0,LF
208,23,208-00023,Erosion Log (Type 3)(12 Inch),0,LF
208,24,208-00024,Erosion Log (Type 3)(20 Inch),0,LF
208,25,208-00025,Plastic Sheeting,0,SY
208,26,208-00026,Coir Roll,0,LF
208,30,208-00030,Sediment Basin,0,EACH
208,33,208-00033,Sediment Trap,0,EACH
208,34,208-00034,Gravel Bag,300,LF
208,35,208-00035,Aggregate Bag,0,LF
208,36,208-00036,Aggregate Bag (Special),0,LF
208,40,208-00040,Check Dam,0,EACH
208,41,208-00041,Rock Check Dam,0,EACH
208,45,208-00045,Concrete Washout Structure,8,EACH
208,46,208-00046,Pre-fabricated Concrete Washout Structure,0,EACH
208,50,208-00050,Storm Drain Inlet Protection,0,EACH
208,51,208-00051,Storm Drain Inlet Protection (Type I),0,LF
208,52,208-00052,Storm Drain Inlet Protection (Type II),0,LF
208,53,208-00053,Storm Drain Inlet Protection (Type I),0,EACH
208,54,208-00054,Storm Drain Inlet Protection (Type II),0,EACH
208,55,208-00055,Rigid Inlet Protection Device,0,EACH
208,56,208-00056,Storm Drain Inlet Protection (Type III),0,EACH
208,60,208-00060,Temporary Slope Drain,0,LF
208,70,208-00070,Vehicle Tracking Pad,0,EACH
208,71,208-00071,Maintenance Aggregate (Vehicle Tracking Pad),0,CY
208,75,208-00075,Pre-fabricated Vehicle Tracking Pad,0,EACH
208,100,208-00100,Sediment Removal and Disposal,0,L S
208,101,208-00101,Sediment Removal and Disposal,0,HOUR
208,103,208-00103,Removal and Disposal of Sediment (Labor),25,HOUR
208,105,208-00105,Removal and Disposal of Sediment (Equipment),25,HOUR
208,106,208-00106,Sweeping (Sediment Removal),0,HOUR
208,107,208-00107,Removal of Trash,0,HOUR
208,110,208-00110,Sediment Removal and Disposal,0,CY
208,120,208-00120,Sediment Removal and Disposal,0,EACH
208,200,208-00200,Erosion Control Supervisor,0,L S
208,205,208-00205,Erosion Control Supervisor,450,HOUR
208,206,208-00206,Erosion Control Supervisor,0,DAY
208,207,208-00207,Erosion Control Management,0,DAY
208,220,208-00220,Best Management Practices Construction (Special),0,DOL
208,300,208-00300,Temporary Berms,0,LF
208,301,208-00301,Temporary Diversion,0,LF
208,302,208-00302,Temporary Spill Berm (Special),0,LF
208,400,208-00400,Water Control,0,L S
208,500,208-00500,Swale Protection Type 1,0,LF
208,502,208-00502,Swale Protection Type 2,0,LF
208,503,208-00503,Swale Protection Type 3,0,LF
208,504,208-00504,Swale Protection Type 4,0,LF
208,505,208-00505,Swale Protection Type 5,0,LF
208,506,208-00506,Swale Protection Type 6,0,LF
208,510,208-00510,Streambank Stabilization Type 1,0,LF
208,512,208-00512,Streambank Stabilization Type 2,0,LF
208,520,208-00520,Temporary Stream Crossing,0,L S
209,0,209-00000,Water,0,MGAL
209,50,209-00050,Water,0,MGAL
209,100,209-00100,Water (Landscaping),0,MGAL
209,200,209-00200,Time-Released Water Product,0,EACH
209,300,209-00300,Water Treat Processing (Tunnel),0,MGAL
209,500,209-00500,Hydroscaling,0,MGAL
209,600,209-00600,Dust Palliative (Magnesium Chloride),0,GAL
209,601,209-00601,Dust Palliative (Magnesium Chloride),0,MGAL
209,605,209-00605,Dust Palliative (Magnesium Chloride)(Special),0,GAL
210,1,210-00001,Reset Structure,0,EACH
210,5,210-00005,Reset Curb,0,LF
210,7,210-00007,Reset Wheel Stop,0,EACH
210,10,210-00010,Reset Mailbox Structure,0,EACH
210,11,210-00011,Reset Mailbox Structure (Type 1),0,EACH
210,12,210-00012,Reset Mailbox Structure (Type 2),0,EACH
210,13,210-00013,Reset Mailbox Structure (Type 3),0,EACH
210,14,210-00014,Reset Mailbox Structure (Type 4),0,EACH
210,15,210-00015,Reset End Section,0,EACH
210,17,210-00017,Reset Embankment Protector,0,EACH
210,30,210-00030,Reset Water Service,0,EACH
210,35,210-00035,Reset Water Meter,0,EACH
210,40,210-00040,Reset Water Line,0,L S
210,45,210-00045,Reset Slide Headgate,0,EACH
210,50,210-00050,Reset Fire Hydrant,0,EACH
210,55,210-00055,Reset Utility Pad-Mounted Transformer,0,EACH
210,56,210-00056,Reset Utility Secondary Service Pedestal,0,EACH
210,60,210-00060,Reset Marker,0,EACH
210,65,210-00065,Reset Monument (Type 3A),2,EACH
210,66,210-00066,Reset Monument Box,0,EACH
210,70,210-00070,Reset Barricade,0,EACH
210,90,210-00090,Reset Delineator,0,EACH
210,94,210-00094,Reset LED Lane Markings,0,EACH
210,100,210-00100,Reset Trash Guard,0,EACH
210,200,210-00200,Reset Flagpole,0,EACH
210,300,210-00300,Reset Brick Pavers,0,SY
210,400,210-00400,Reset Bridge Expansion Device,0,LF
210,410,210-00410,Modify Bridge Expansion Device,0,EACH
210,415,210-00415,Repair Rail Expansion Joint,0,EACH
210,420,210-00420,Reset Timbers,0,L S
210,425,210-00425,Reset Bridge Railing,0,LF
210,427,210-00427,Reset Pipe Handrailing,0,LF
210,430,210-00430,Repair Bearing Device,0,EACH
210,440,210-00440,Repair Curb,0,LF
210,442,210-00442,Patch Bridge Curb,0,LF
210,444,210-00444,Replace Bridge Curb,0,LF
210,450,210-00450,Repair Overhead Sign Structure,0,L S
